5.9720 	INFO 	Loaded monitor calibration from ['2025_04_09 10:33']
5.9790 	WARNING 	User requested fullscreen with size [1536  960], but screen is actually [1920, 1200]. Using actual size
6.4405 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=True, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000023D92ED1F30>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000023D92ED1ED0>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([1., 1., 1.]), colorSpace='rgb', depthBits=8, fullscr=True, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000023D92F8D510>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1200]), stencilBits=8, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
6.4405 	EXP 	window1: backgroundImage = ''
6.4406 	EXP 	window1: backgroundFit = 'none'
6.5232 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
6.5233 	EXP 	window1: recordFrameIntervals = False
6.7499 	EXP 	window1: recordFrameIntervals = True
6.9327 	EXP 	Screen (0) actual frame rate measured at 60.09Hz
6.9328 	EXP 	window1: recordFrameIntervals = False
10.1484 	INFO 	keyboard.Keyboard is using iohub backend.
10.1485 	INFO 	keyboard.Keyboard is using iohub backend.
10.1485 	INFO 	keyboard.Keyboard is using iohub backend.
10.1485 	EXP 	state_naming_task: status = STARTED
10.2539 	EXP 	Created task_instructions = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([-1., -1., -1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='task_instructions', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
